# 3.3mg/mL fAT from als 2012.02.27
# q  I(q)  err
 0.010641  84.777321  4.310276
 0.011250  84.480937  1.503177
 0.011858  87.327214  0.615899
 0.012466  82.751739  0.903363
 0.013074  84.194408  1.226485
 0.013682  83.451254  1.129754
 0.014290  81.054265  1.345485
 0.014898  80.085464  1.211155
 0.015506  81.280258  0.788380
 0.016114  81.073383  0.741557
 0.016722  81.354411  0.788478
 0.017330  81.195595  0.554456
 0.017938  80.582044  0.552862
 0.018546  80.329396  0.670952
 0.019155  79.699391  0.632353
 0.019763  79.640160  0.440053
 0.020371  79.707377  0.489387
 0.020979  79.901984  0.473193
 0.021587  79.140643  0.380692
 0.022195  78.927470  0.504910
 0.022803  78.432170  0.311144
 0.023411  78.636111  0.379371
 0.024019  78.202740  0.333108
 0.024627  78.078792  0.383360
 0.025235  77.500447  0.248450
 0.025843  77.318455  0.316190
 0.026452  76.896387  0.286936
 0.027060  77.298387  0.301604
 0.027668  76.790193  0.289547
 0.028276  76.354015  0.293396
 0.028884  75.744308  0.277523
 0.029492  75.777565  0.229043
 0.030100  74.774803  0.343128
 0.030708  75.192563  0.261552
 0.031316  74.872766  0.316341
 0.031924  74.907973  0.220250
 0.032532  73.946965  0.251300
 0.033140  73.019322  0.259518
 0.033748  72.872243  0.270723
 0.034357  72.691720  0.241641
 0.034965  72.393659  0.225220
 0.035573  71.737883  0.239461
 0.036181  71.444831  0.225280
 0.036789  70.675480  0.203866
 0.037397  69.657559  0.237817
 0.038005  69.630313  0.202957
 0.038613  69.171129  0.240522
 0.039221  68.731488  0.207621
 0.039829  68.503865  0.219300
 0.040437  67.650834  0.234475
 0.041045  67.169746  0.216621
 0.041654  67.395815  0.226884
 0.042262  67.027198  0.212485
 0.042870  66.219078  0.211731
 0.043478  65.696300  0.204836
 0.044086  65.311496  0.188501
 0.044694  64.935868  0.175626
 0.045302  64.436045  0.179147
 0.045910  63.940006  0.204018
 0.046518  63.549418  0.207043
 0.047126  63.021223  0.177304
 0.047734  62.760127  0.183911
 0.048342  62.163496  0.179849
 0.048950  61.622098  0.188913
 0.049559  61.576117  0.194060
 0.050167  61.122753  0.161900
 0.050775  60.634522  0.179381
 0.051383  60.464984  0.189618
 0.051991  59.516734  0.170779
 0.052599  59.192349  0.159645
 0.053207  58.367827  0.179409
 0.053815  58.091026  0.161281
 0.054423  57.434774  0.165209
 0.055031  56.794517  0.166206
 0.055639  56.337935  0.161019
 0.056247  55.927727  0.156954
 0.056855  55.394309  0.160819
 0.057463  55.046408  0.173075
 0.058072  54.608232  0.159623
 0.058680  54.169105  0.175234
 0.059288  53.728570  0.155162
 0.059896  53.090346  0.166449
 0.060504  53.000755  0.167516
 0.061112  51.966627  0.131957
 0.061720  51.721372  0.144223
 0.062328  51.185996  0.159178
 0.062936  50.590834  0.129648
 0.063544  50.203319  0.139998
 0.064152  49.705847  0.173125
 0.064760  48.992770  0.154326
 0.065368  48.246203  0.152390
 0.065977  47.834329  0.151518
 0.066585  47.384103  0.135153
 0.067193  47.067366  0.152509
 0.067801  46.515104  0.182083
 0.068409  45.874226  0.154321
 0.069017  45.229227  0.154425
 0.069625  45.199380  0.150033
 0.070233  44.696503  0.159008
 0.070841  44.119381  0.144469
 0.071449  43.759931  0.152480
 0.072057  43.083227  0.125568
 0.072665  42.668577  0.133692
 0.073273  42.071632  0.134653
 0.073881  41.519575  0.130364
 0.074490  41.078654  0.126814
 0.075098  40.619971  0.136312
 0.075706  40.285285  0.138995
 0.076314  39.639272  0.129916
 0.076922  39.438128  0.129815
 0.077530  38.893050  0.131151
 0.078138  38.444691  0.125124
 0.078746  37.894365  0.133149
 0.079354  37.422503  0.126061
 0.079962  36.905943  0.123126
 0.080570  36.465871  0.120233
 0.081178  36.241248  0.110955
 0.081786  35.364158  0.116424
 0.082394  35.242660  0.129236
 0.083002  34.648868  0.120097
 0.083611  34.287300  0.117136
 0.084219  33.655833  0.123755
 0.084827  33.555523  0.114233
 0.085435  33.011556  0.118287
 0.086043  32.828672  0.126294
 0.086651  32.178927  0.123104
 0.087259  31.748753  0.119695
 0.087867  31.242407  0.108383
 0.088475  30.791291  0.117584
 0.089083  30.243688  0.114313
 0.089691  30.169583  0.118013
 0.090299  29.808456  0.124656
 0.090907  29.559195  0.106874
 0.091515  28.947187  0.145970
 0.092123  28.793310  0.101974
 0.092732  27.866298  0.111790
